method,Siam,DCF,VOS,MOTHOTA,MOTIDF,MOTSHOTA,MOTSIDF,PTIDF,PTIDS,IMAGENET
supervised,586,620,623,633,756,710,694,737,6969,772
InsDis,476,618,626,619,739,703,684,739,7015,595
MoCo-v1,509,622,615,619,741,716,706,739,6872,606
PCL-v1,568,613,604,628,748,697,676,733,6855,615
PIRL,510,612,608,619,734,699,674,730,7173,617
PCL-v2,549,625,612,627,749,705,683,735,6859,676
SimCLR-v1,519,613,605,632,756,695,676,735,7084,693
MoCo-v2,537,615,612,628,749,696,675,737,6932,711
SimCLR-v2,547,617,616,633,757,704,691,736,7228,717
SeLa-v2,510,631,602,593,689,687,668,729,6983,718
InfoMin,485,612,584,619,734,688,667,740,7066,730
BYOL,555,589,588,629,749,708,701,738,7213,743
DeepCluster-v2,529,612,593,635,751,698,677,737,7018,752
SwAV,524,615,594,623,744,699,688,736,7025,753
BarlowTwins,555,605,617,624,745,698,687,743,7131,732
DetCo,550,590,623,628,753,700,678,739,7357,687
PixPro,492,574,564,586,677,676,662,731,6953,-100
