method,Siam,DCF,VOS,MOTHOTA,MOTIDF,MOTSHOTA,MOTSIDF,PTIDF,PTIDS,VOC (Frozen),VOC (Finetune),Surface Normal,Segmentation
supervised,586,620,623,633,756,710,694,737,6969,5199,5326,3352,2563
InsDis,476,618,626,619,739,703,684,739,7015,5013,4882,3299,2742
MoCo-v1,509,622,615,619,741,716,706,739,6872,5039,5051,3369,2530
PCL-v1,568,613,604,628,748,697,676,733,6855,5105,5393,3790,2983
PIRL,510,612,608,619,734,699,674,730,7173,4954,4508,3316,2697
PCL-v2,549,625,612,627,749,705,683,735,6859,5245,5392,3398,2965
SimCLR-v1,519,613,605,632,756,695,676,735,7084,5194,5219,3047,2966
MoCo-v2,537,615,612,628,749,696,675,737,6932,5422,4474,3049,2794
SimCLR-v2,547,617,616,633,757,704,691,736,7228,5495,5142,2877,2960
SeLa-v2,510,631,602,593,689,687,668,729,6983,4966,5041,3957,2956
InfoMin,485,612,584,619,734,688,667,740,7066,5345,4492,3245,2944
BYOL,555,589,588,629,749,708,701,738,7213,5332,5491,3056,2940
DeepCluster-v2,529,612,593,635,751,698,677,737,7018,5005,5103,3019,2744
SwAV,524,615,594,623,744,699,688,736,7025,5068,5207,3164,2961
